Type,id
Requirement, (View and Downloadable Excel sheet) with an option to upload and share with relevant stakeholders.
BusinessProcess,"""Know Your Customer (KYC)"""
BusinessFunction,"""Loan & Lease"" Request - NA"
ApplicationComponent,(External) Eicher SalesOne
ApplicationComponent,(New) Business Engine
ApplicationComponent,(new) India Frontend Webform
ApplicationComponent,(new) Service Contract Mgmt System - AU
ApplicationComponent,(offline checking) by Report Center / DWH - China
ApplicationComponent,(Offline) Credit Data Import Tool - Turkey
Requirement,* Ability to analyse customer profile basis Customer behaviour while visiting VFS or Dealer offices / branches. Vendor needs to explore available technology
Requirement,* Ability to offer access to BA / Dealer to initiate Case Login to understand the Customer profiles (basis VFS quick and/or detailed UW) - using rules engine
ApplicationComponent,.NET Application
ApplicationComponent,???_Baihang Credit Reporting System
Principle,《中国银保监会汽车金融公司监管数据标准化规范》
Principle,《附件1-规范报送说明》
Principle,《附件2-规范采集技术接口说明》
Principle,《附件3-规范数据结构表》
Principle,《附件4-规范E-R图》
Requirement,《附件5-标准化监管数据报送清单》
Requirement,《附件6-数据更正申请表》
Requirement,《附件7-工作联系人名单》
ApplicationFunction,<<Custom App 1>>
Product,> 5 years Service Contract - Neitherlands & Belgium
Driver,0. Purpose: Make Volvo Group and services more valuable to customers
ApplicationComponent,000162_TSA
ApplicationComponent,001971_CQ-Online
ApplicationComponent,002575_VFS China CMS
ValueStream,01 Attract Customer
Outcome,01 Don't Know He/She Needs VFS
BusinessProcess,01 Input Customer EIN and Onboarding Info in Originations System
Driver,01 KYC
BusinessProcess,01 Master Data
Requirement,01 Phone Collection
ValueStream,01 Prep Financials
ValueStream,01 Procure Materials
BusinessProcess,01 Quotation Generation - India
ValueStream,01 Retail Finance Products
ValueStream,01 Sales Cycle
Requirement,01 Tiered Rate Interesting Settings
Goal,01 Unqualified Need
BusinessProcess,01.01 Master Data - System Ownership
Requirement,"01.01 Phone collector can view daily work in work queue. Manger can config the allocation rules in system, and then system do allocation for each user automatically. Allocation to be done each day."
BusinessProcess,01.01.01 HR Announcement of Position Change
BusinessProcess,01.01.02 Approve the Change of System Ownership
BusinessProcess,01.01.03 VFS China IT to Inform Users
BusinessProcess,01.01.04 Modification in System
BusinessProcess,01.02 Master Data - Dealer Data Access and Change
Requirement,"01.02 User can make phone calls automatically, system allow user to dail automatically"
BusinessProcess,01.02.01 Accounts Creation / Modification Request
BusinessProcess,01.02.02 Approve Access to Master Data
BusinessProcess,01.02.03 Verify the Signatures
BusinessProcess,01.02.04 Accounts Creation / Modification in System
BusinessProcess,01.02.05 Access Right Review
BusinessProcess,01.02.06 Receive Dealer Bank Account Information
BusinessProcess,01.02.07 Approve Master Data Changes
BusinessProcess,01.03 Master Data - Customer Data
Requirement,01.03 User can input phone call comments (logs). allow users to capture comments about the  conversation. User can view all the previous comments .
BusinessProcess,01.03.01 Need for Master Data Change
BusinessProcess,01.03.02 Edit Master Data
BusinessProcess,01.03.03 Sending Request to Work Queue
BusinessProcess,01.03.04 Approve Master Data
Requirement,"01.04 AML check: User do AML check if  the payment is paid by third party. A reminder is expected by the system. User can input the AML check results in system, and can generate the related report for monthly reporting. AML check to be done, allow user to capture commets about the AML check and generate the report."
